"","AGE_RANGE","COMMODITY","totalSPEND","totalsale","percent"
"1","19-24                                                                                                                                                                                                   ","ACTIVITY                      ",120.42,260038.79,0.0463084757470222
"2","19-24                                                                                                                                                                                                   ","MEAT - POULTRY                ",428.71,260038.79,0.16486386511797
"3","19-24                                                                                                                                                                                                   ","PRODUCE                       ",20736.11,260038.79,7.97423722822276
"4","19-24                                                                                                                                                                                                   ","SPECIALTY FOOD                ",1558.35,260038.79,0.599275977249394
"5","19-24                                                                                                                                                                                                   ","DELI                          ",4987.27,260038.79,1.9178946341044
"6","19-24                                                                                                                                                                                                   ","ELECTRONICS                   ",367.12,260038.79,0.141178937188563
"7","19-24                                                                                                                                                                                                   ","TOYS                          ",356.85,260038.79,0.137229526410271
"8","19-24                                                                                                                                                                                                   ","SEASONAL PRODUCTS             ",199.93,260038.79,0.0768846832428347
"9","19-24                                                                                                                                                                                                   ","MEAT - PORK                   ",2334.26,260038.79,0.897658383966485
"10","19-24                                                                                                                                                                                                   ","ALCOHOL                       ",11579.56,260038.79,4.45301256785574
"11","19-24                                                                                                                                                                                                   ","MEAT - SAUSAGE                ",2320.19,260038.79,0.892247652744423
"12","19-24                                                                                                                                                                                                   ","SEAFOOD                       ",3096.29,260038.79,1.1907031254837
"13","19-24                                                                                                                                                                                                   ","TOBACCO PRODUCTS              ",764.7,260038.79,0.294071511407971
"14","19-24                                                                                                                                                                                                   ","DRY GOODS                     ",4901.69,260038.79,1.88498415947867
"15","19-24                                                                                                                                                                                                   ","FLORAL                        ",1440.53,260038.79,0.553967352332319
"16","19-24                                                                                                                                                                                                   ","OUTDOOR                       ",880.01,260038.79,0.338414895716135
"17","19-24                                                                                                                                                                                                   ","MEAT - CHICKEN                ",7604.28,260038.79,2.92428679582765
"18","19-24                                                                                                                                                                                                   ","MEAT - BEEF                   ",10472.53,260038.79,4.02729531236474
"19","19-24                                                                                                                                                                                                   ","AUTO                          ",159.9,260038.79,0.0614908260417609
"20","19-24                                                                                                                                                                                                   ","MEAT - TURKEY                 ",3452.6,260038.79,1.32772499056775
"21","19-24                                                                                                                                                                                                   ","PET                           ",4823.07,260038.79,1.85475020861311
"22","19-24                                                                                                                                                                                                   ","MEAT - OTHER                  ",5976.95,260038.79,2.29848400694373
"23","19-24                                                                                                                                                                                                   ","DAIRY                         ",18676.14,260038.79,7.1820592612356
"24","19-24                                                                                                                                                                                                   ","FROZEN FOOD                   ",18474.07,260038.79,7.10435162384812
"25","19-24                                                                                                                                                                                                   ","PERSONAL CARE                 ",9512.85,260038.79,3.65824267987095
"26","19-24                                                                                                                                                                                                   ","IN STORE FOOD SERVICE         ",6394.69,260038.79,2.45912927067535
"27","19-24                                                                                                                                                                                                   ","INTERNATIONAL FOOD            ",2601.68,260038.79,1.00049688740668
"28","19-24                                                                                                                                                                                                   ","BABY                          ",3831.42,260038.79,1.47340325649108
"29","19-24                                                                                                                                                                                                   ","MEDICAL SUPPLIES              ",84.92,260038.79,0.0326566663381259
"30","19-24                                                                                                                                                                                                   ","MISC                          ",511.04,260038.79,0.196524526206263
"31","19-24                                                                                                                                                                                                   ","CLOTHING                      ",1270.6,260038.79,0.488619409435031
"32","19-24                                                                                                                                                                                                   ","COSMETICS                     ",930.48,260038.79,0.357823538557459
"33","19-24                                                                                                                                                                                                   ","GIFT                          ",1200.35,260038.79,0.461604209125877
"34","19-24                                                                                                                                                                                                   ","MEDICATION                    ",5030.56,260038.79,1.93454215042302
"35","19-24                                                                                                                                                                                                   ","HOUSEHOLD                     ",15067.71,260038.79,5.79440859573297
"36","19-24                                                                                                                                                                                                   ","CANNED GOODS                  ",4171.16,260038.79,1.60405299532427
"37","19-24                                                                                                                                                                                                   ","BAKERY                        ",9689.05,260038.79,3.72600180150046
"38","19-24                                                                                                                                                                                                   ","GROCERY STAPLE                ",55921.26,260038.79,21.5049685471925
"39","19-24                                                                                                                                                                                                   ","HOLIDAY                       ",230.82,260038.79,0.088763680218632
"40","19-24                                                                                                                                                                                                   ","BULK PRODUCTS                 ",1104.11,260038.79,0.424594346097365
"41","19-24                                                                                                                                                                                                   ","BEVERAGE - NON WATER          ",12886.26,260038.79,4.95551452150658
"42","19-24                                                                                                                                                                                                   ","BEVERAGE - WATER              ",3888.3,260038.79,1.49527691618624
"43","25-34                                                                                                                                                                                                   ","DRY GOODS                     ",41681.62,2383274.26,1.74892250965694
"44","25-34                                                                                                                                                                                                   ","DELI                          ",54988.53,2383274.26,2.30726823693384
"45","25-34                                                                                                                                                                                                   ","BEVERAGE - WATER              ",31300.75,2383274.26,1.31335073454786
