"","STORE_R","COMMODITY","totalSPEND","totalUnit","sale_percentage","unit_percentage"
"1","EAST   ","ACTIVITY                      ",4429.01,982,0.037856576067221,0.0232661174725699
"2","EAST   ","ALCOHOL                       ",504535.15,63102,4.31247011963436,1.49504943457648
"3","EAST   ","AUTO                          ",8018.52,2129,0.0685375992211652,0.0504415113025472
"4","EAST   ","BABY                          ",145906.49,36678,1.24712297723108,0.868996595375681
"5","EAST   ","BAKERY                        ",471879.57,216086,4.03334940229815,5.11963570282866
"6","EAST   ","BEVERAGE - NON WATER          ",590102.37,242996,5.04384845763554,5.75720313784582
"7","EAST   ","BEVERAGE - WATER              ",151613.25,81150,1.2959010098021,1.9226531903249
"8","EAST   ","BULK PRODUCTS                 ",80880.05,20036,0.691315161886209,0.474704612709176
"9","EAST   ","CANNED GOODS                  ",198535.88,167293,1.69696809067775,3.96360345248334
"10","EAST   ","CLOTHING                      ",61682.59,7087,0.527226549580652,0.167909342696643
"11","EAST   ","COSMETICS                     ",44139.34,8059,0.377277152742245,0.19093853432937
"12","EAST   ","DAIRY                         ",863424.21,419559,7.38004300828971,9.9404368438635
"13","EAST   ","DELI                          ",309517.84,75564,2.6455766986577,1.79030641618867
"14","EAST   ","DRY GOODS                     ",182968.01,127699,1.56390308182484,3.02551928220948
"15","EAST   ","ELECTRONICS                   ",11167.28,837,0.0954513502529811,0.0198306927948483
"16","EAST   ","FLORAL                        ",80603.56,9959,0.688951887764717,0.235954443899515
"17","EAST   ","FROZEN FOOD                   ",849394.94,304501,7.26012904852837,7.2144155157994
"18","EAST   ","GIFT                          ",79489.08,22301,0.67942596732304,0.528368315433586
"19","EAST   ","GROCERY STAPLE                ",2425529.93,1032796,20.7320051881496,24.4696059686358
"20","EAST   ","HOLIDAY                       ",16907.93,7320,0.144519054638451,0.173429714764981
"21","EAST   ","HOUSEHOLD                     ",755016.05,188021,6.45343373096871,4.45470333330964
"22","EAST   ","IN STORE FOOD SERVICE         ",302416.29,82659,2.58487682040722,1.95840529955719
"23","EAST   ","INTERNATIONAL FOOD            ",105362.63,56134,0.900577875696253,1.32995950937397
"24","EAST   ","MEAT - BEEF                   ",398736.85,55484,3.4081683926722,1.31455932978418
"25","EAST   ","MEAT - CHICKEN                ",296034.83,48534,2.53033184852638,1.14989587109339
"26","EAST   ","MEAT - OTHER                  ",222560.12,63531,1.90231318337729,1.50521355310574
"27","EAST   ","MEAT - PORK                   ",119770.43,18150,1.02372728756511,0.43002039931481
"28","EAST   ","MEAT - POULTRY                ",12051.25,2171,0.103007006606464,0.0514365998298873
"29","EAST   ","MEAT - SAUSAGE                ",114788.86,38928,0.981147753168221,0.922304909340327
"30","EAST   ","MEAT - TURKEY                 ",51071.18,9051,0.43652644959319,0.214441577641782
"31","EAST   ","MEDICAL SUPPLIES              ",4953.86,650,0.0423426855925734,0.0154001795897866
"32","EAST   ","MEDICATION                    ",230790.25,34568,1.9726595005877,0.819005243168836
"33","EAST   ","MISC                          ",40737.46,11581,0.34819988062239,0.274383815122029
"34","EAST   ","OUTDOOR                       ",32289.19,4373,0.275989030818163,0.103607669763287
"35","EAST   ","PERSONAL CARE                 ",428685.81,121444,3.66415451200229,2.87732216938776
"36","EAST   ","PET                           ",221962.74,76459,1.89720713001298,1.81151127885461
"37","EAST   ","PRODUCE                       ",934383.640000001,509285,7.98656253736769,12.0662776344376
"38","EAST   ","SEAFOOD                       ",151012.1,21419,1.29076273269213,0.507471456359445
"39","EAST   ","SEASONAL PRODUCTS             ",10661.12,3409,0.0911249918699148,0.0807680188024346
"40","EAST   ","SPECIALTY FOOD                ",56767.73,9675,0.485217213081132,0.229225750047977
"41","EAST   ","TOBACCO PRODUCTS              ",110150.87,14606,0.941504938806995,0.346053881674497
"42","EAST   ","TOYS                          ",18518.6,4464,0.158286115759151,0.105763694905858
