"","STORE_R","COMMODITY","totalSPEND","totalUnit","sale_percentage","unit_percentage"
"1","SOUTH  ","ACTIVITY                      ",3369.94,729,0.0423469910972738,0.025833246218477
"2","SOUTH  ","ALCOHOL                       ",453491.97,59692,5.69862383789478,2.11527864646547
"3","SOUTH  ","AUTO                          ",5404.53,1433,0.0679138452895152,0.0507805786434534
"4","SOUTH  ","BABY                          ",101938.01,26370,1.28096286638451,0.934461869384414
"5","SOUTH  ","BAKERY                        ",286609.51,126138,3.6015627484062,4.46989576338306
"6","SOUTH  ","BEVERAGE - NON WATER          ",397599.6,175060,4.99627492521517,6.20352274760848
"7","SOUTH  ","BEVERAGE - WATER              ",112526.56,58699,1.41401960703361,2.08009015058763
"8","SOUTH  ","BULK PRODUCTS                 ",24742.52,6469,0.310916892931066,0.229239053206211
"9","SOUTH  ","CANNED GOODS                  ",135285.05,112161,1.70000498760934,3.97459907971275
"10","SOUTH  ","CLOTHING                      ",17316.97,2903,0.217606715378243,0.102872309701288
"11","SOUTH  ","COSMETICS                     ",28420.81,5284,0.357138639871128,0.187246739394283
"12","SOUTH  ","DAIRY                         ",575206.49,251699,7.22810023653955,8.91934463641212
"13","SOUTH  ","DELI                          ",165979.6,38600,2.08571566364062,1.3678508971649
"14","SOUTH  ","DRY GOODS                     ",116725.13,82706,1.46677924263878,2.93081544821037
"15","SOUTH  ","ELECTRONICS                   ",4832.46,545,0.0607251584888549,0.0193129206983127
"16","SOUTH  ","FLORAL                        ",59098.49,7680,0.742637325855155,0.272152717363379
"17","SOUTH  ","FROZEN FOOD                   ",545143.35,195152,6.85032391947275,6.91551394516902
"18","SOUTH  ","GIFT                          ",45804.08,12794,0.575578487444529,0.453375242961858
"19","SOUTH  ","GROCERY STAPLE                ",1588664.67,677728,19.9633134824488,24.0163433376625
"20","SOUTH  ","HOLIDAY                       ",8832.55,3292,0.110990675269063,0.116657128328157
"21","SOUTH  ","HOUSEHOLD                     ",536694.69,139450,6.7441572429729,4.94162714014625
"22","SOUTH  ","IN STORE FOOD SERVICE         ",150665.2,41489,1.89327343604603,1.47022709514183
"23","SOUTH  ","INTERNATIONAL FOOD            ",80730.35,41938,1.01446536517855,1.4861381068731
"24","SOUTH  ","MEAT - BEEF                   ",257259.69,30024,3.23275007926474,1.06394702944246
"25","SOUTH  ","MEAT - CHICKEN                ",245569.95,42785,3.08585567885718,1.5161528661969
"26","SOUTH  ","MEAT - OTHER                  ",154217.5,42254,1.93791198049337,1.49733605722294
"27","SOUTH  ","MEAT - PORK                   ",84505.74,12573,1.06190728008467,0.445543765027313
"28","SOUTH  ","MEAT - POULTRY                ",3517.04,600,0.0441954638862282,0.021261931044014
"29","SOUTH  ","MEAT - SAUSAGE                ",61477.92,20468,0.772537472749933,0.725315341014797
"30","SOUTH  ","MEAT - TURKEY                 ",42223.87,8398,0.530589223245056,0.297596161512716
"31","SOUTH  ","MEDICAL SUPPLIES              ",2155.86,183,0.0270907447096888,0.00648488896842426
"32","SOUTH  ","MEDICATION                    ",162019.82,25709,2.03595668620863,0.911038308684259
"33","SOUTH  ","MISC                          ",28147.36,7815,0.35370244079472,0.276936651848282
"34","SOUTH  ","OUTDOOR                       ",16233.07,2376,0.203986323427545,0.0841972469342953
"35","SOUTH  ","PERSONAL CARE                 ",286335.47,81099,3.59811913533288,2.87386890956415
"36","SOUTH  ","PET                           ",181392.98,60270,2.2794016834626,2.1357609733712
"37","SOUTH  ","PRODUCE                       ",679035.44,367030,8.53282483736012,13.0062775851407
"38","SOUTH  ","SEAFOOD                       ",159860.23,20712,2.00881906995915,0.733961859639362
"39","SOUTH  ","SEASONAL PRODUCTS             ",4710.24,1342,0.0591893301797725,0.0475558524351112
"40","SOUTH  ","SPECIALTY FOOD                ",38057.52,7164,0.478234467267761,0.253867456665527
"41","SOUTH  ","TOBACCO PRODUCTS              ",96826.8,20432,1.21673490850802,0.724039625152156
"42","SOUTH  ","TOYS                          ",9291.74,2700,0.116760901101557,0.0956786896980629
