"","HSHD_NUM","Spending_2016","Spending_2017","Change","Trend","Spending","Units","Units_2016","Units_2017"
"1",688,2450.23,2739.97,289.74,"increase",5190.2,1922,952,970
"2",2590,1604.04,1312.32,-291.72,"increase",2916.36,1430,744,686
"3",1171,60.05,0,-60.05,"increase",60.05,19,19,0
"4",1531,4038.4,4160.93,122.53,"increase",8199.33,2584,1264,1320
"5",403,2700.97,1987.66,-713.31,"increase",4688.63,2277,1081,1196
"6",283,10904.94,9620.2,-1284.74,"increase",20525.14,7909,4265,3644
"7",3864,9414.91,6855.98,-2558.93,"increase",16270.89,4101,2391,1710
"8",4899,5768.88,4627.49,-1141.39,"increase",10396.37,4104,2298,1806
"9",1443,202.26,0,-202.26,"increase",202.26,42,42,0
"10",3598,3836.13,3409.6,-426.53,"increase",7245.73,2950,1617,1333
"11",3962,6268.57,7275.18,1006.61,"increase",13543.75,5867,2818,3049
"12",556,0,53,53,"increase",53,6,0,6
"13",2932,4617.74,5998.28,1380.54,"increase",10616.02,4397,1774,2623
"14",1580,5489.45,5996.5,507.05,"increase",11485.95,4982,2457,2525
"15",2902,2762.68,2925.13,162.45,"increase",5687.81,1917,847,1070
"16",813,4446.29,5075.68,629.39,"increase",9521.97,3579,1627,1952
"17",986,10792.06,5549.72,-5242.34,"increase",16341.78,5220,3469,1751
"18",1402,546.23,124.34,-421.89,"increase",670.57,246,202,44
"19",3211,0,43.41,43.41,"increase",43.41,21,0,21
"20",535,194.48,75.58,-118.9,"increase",270.06,90,72,18
"21",1021,6643.38,2943.67,-3699.71,"increase",9587.05,3514,2167,1347
"22",1621,1117.99,1232.11,114.12,"increase",2350.1,893,416,477
"23",1937,3319.3,2024.62,-1294.68,"increase",5343.92,1387,957,430
"24",2037,3537.41,1942.95,-1594.46,"increase",5480.36,2277,1458,819
"25",2181,5546.24,5140.23,-406.009999999999,"increase",10686.47,3725,1968,1757
"26",2936,5530.64,6948.51,1417.87,"increase",12479.15,3972,1739,2233
"27",3572,3240.28,3758.2,517.92,"increase",6998.48,1550,667,883
"28",4276,4600.74,4444.32,-156.42,"increase",9045.06,2525,1266,1259
"29",1093,7.38,0,-7.38,"increase",7.38,2,2,0
