"","COMMODITY","WEEK_NUM.x","totalspend.x","WEEK_NUM.y","totalspend.y","avg_spend","totalsale","avg","pctdiff"
"1","ACTIVITY                      ",12,74.88,67,129.64,102.26,13971.54,134.341730769231,-23.8806888861214
"2","ALCOHOL                       ",12,19538.01,67,22019.85,20778.93,1983855.44,19075.5330769231,8.9297474215157
"3","AUTO                          ",12,203.2,67,210.16,206.68,24492.96,235.509230769231,-12.2412317661891
"4","BABY                          ",12,4271.07,67,4431.42,4351.245,472514.94,4543.41288461538,-4.22959324841665
"5","BAKERY                        ",12,15643.4,67,16393.92,16018.66,1504196.08,14463.4238461539,10.7528906736679
"6","BEVERAGE - NON WATER          ",12,20672.99,67,21803.91,21238.45,1939753.37,18651.4747115385,13.8700844221242
"7","BEVERAGE - WATER              ",12,4604.62,67,6012.13,5308.375,523357.55,5032.28413461539,5.48639262011218
"8","BULK PRODUCTS                 ",12,1767.99,67,1776.16,1772.075,173219.82,1665.57519230769,6.39417590896931
"9","CANNED GOODS                  ",12,7789.88,67,7569.51,7679.695,655492.35,6302.81105769231,21.8455531937177
"10","CLOTHING                      ",12,1731.86,67,1485.66,1608.76,165869.94,1594.90326923077,0.868813240060257
"11","COSMETICS                     ",12,1383.6,67,1251.73,1317.665,120904,1162.53846153846,13.3437768808311
"12","DAIRY                         ",12,30638.26,67,32277.37,31457.815,2809265.78000001,27012.1709615385,16.4579294451803
"13","DELI                          ",12,9053.92,67,9017.44,9035.68,909337.28,8743.62769230769,3.34017318634511
"14","DRY GOODS                     ",12,6241.78,67,6097.8,6169.79,587303.93,5647.15317307692,9.25487251549635
"15","ELECTRONICS                   ",12,514.45,67,303.06,408.755,28059.56,269.803461538462,51.5010213987675
"16","FLORAL                        ",12,4683.75,67,3887.32,4285.535,277036.5,2663.8125,60.8797541118228
"17","FROZEN FOOD                   ",12,26804.39,67,28472.34,27638.365,2696407.6,25926.9961538462,6.60072164163892
"18","GIFT                          ",12,1870.38,67,2161.93,2016.155,223388.78,2147.96903846154,-6.13668242424707
"19","GROCERY STAPLE                ",12,90997.62,67,91646.14,91321.88,7767159.60999992,74684.22701923,22.2773317001541
"20","HOLIDAY                       ",12,1938.32,67,1986.87,1962.595,48316.37,464.580480769231,322.444566924212
"21","HOUSEHOLD                     ",12,23415.57,67,24133.03,23774.3,2410471.74,23177.6128846154,2.57441143035335
"22","IN STORE FOOD SERVICE         ",12,7864.84,67,9331.66,8598.25,884803.960000001,8507.73038461539,1.06396901749846
"23","INTERNATIONAL FOOD            ",12,4030.79,67,4499.73,4265.26,442731.61,4257.03471153846,0.19321638226827
"24","MEAT - BEEF                   ",12,14893.41,67,15275.27,15084.34,1477197.44,14203.8215384615,6.19916590161431
"25","MEAT - CHICKEN                ",12,10274.97,67,10696.66,10485.815,1076658.25,10352.4831730769,1.28792121362555
"26","MEAT - OTHER                  ",12,12459.18,67,12449.21,12454.195,786157.46,7559.20634615385,64.7553252245421
"27","MEAT - PORK                   ",12,4137.84,67,4789.75,4463.795,432178.33,4155.56086538462,7.41738948364208
"28","MEAT - POULTRY                ",12,280.23,67,254.67,267.45,30766.54,295.832115384615,-9.59399399477485
"29","MEAT - SAUSAGE                ",12,3247.57,67,3297.77,3272.67,322370.35,3099.71490384615,5.57970979651201
"30","MEAT - TURKEY                 ",12,1926.6,67,1968.18,1947.39,184006.08,1769.28923076923,10.0662325940534
"31","MEDICAL SUPPLIES              ",12,112.71,67,230.78,171.745,14651.19,140.876826923077,21.9114624818871
"32","MEDICATION                    ",12,7195.76,67,6733.69,6964.725,678841.9,6527.32596153846,6.70104482354431
"33","MISC                          ",12,1480.26,67,1357.04,1418.65,133209.65,1280.86201923077,10.7574413715523
"34","OUTDOOR                       ",12,1197.99,67,1780.08,1489.035,89316.38,858.811346153846,73.383247283421
"35","PERSONAL CARE                 ",12,12717.75,67,12750.78,12734.265,1253456.62,12052.4675,5.65691216342205
"36","PET                           ",12,7330.32,67,7427.33,7378.825,755748.84,7266.81576923077,1.54137980549196
"37","PRODUCE                       ",12,36253.36,67,36032.82,36143.09,3169250.78,30473.5651923077,18.604730926342
"38","SEAFOOD                       ",12,6067.46,67,7063.19,6565.325,569060.33,5471.73394230769,19.9861884591393
"39","SEASONAL PRODUCTS             ",12,573.79,67,410.27,492.03,30262.98,290.990192307692,69.0881730748261
"40","SPECIALTY FOOD                ",12,1597.45,67,1603.86,1600.655,173256.13,1665.92432692308,-3.91790466519136
"41","TOBACCO PRODUCTS              ",12,3411.75,67,3027.95,3219.85,339684.38,3266.19596153846,-1.41895838719461
"42","TOYS                          ",12,1369.99,67,1059.47,1214.73,56794.97,546.105480769231,122.435050146166
