"","COMMODITY","WEEK_NUM.x","totalspend.x","WEEK_NUM.y","totalspend.y","avg_spend","totalsale","avg","pctdiff"
"1","ACTIVITY                      ",47,101.49,99,39.99,70.74,13971.54,134.341730769231,-47.3432420477628
"2","ALCOHOL                       ",47,29304.94,99,25195.68,27250.31,1983855.44,19075.5330769231,42.8547757491845
"3","AUTO                          ",47,232.71,99,211.15,221.93,24492.96,235.509230769231,-5.76590171216545
"4","BABY                          ",47,3812.38,99,3964.29,3888.335,472514.94,4543.41288461538,-14.4181896132215
"5","BAKERY                        ",47,16559.62,99,15768.02,16163.82,1504196.08,14463.4238461539,11.7565257848563
"6","BEVERAGE - NON WATER          ",47,20758.67,99,19866.95,20312.81,1939753.37,18651.4747115385,8.90725968941086
"7","BEVERAGE - WATER              ",47,4147.96,99,4690.53,4419.245,523357.55,5032.28413461539,-12.1821248207846
"8","BULK PRODUCTS                 ",47,1686.06,99,1409.6,1547.83,173219.82,1665.57519230769,-7.06934114121583
"9","CANNED GOODS                  ",47,11442.72,99,10415.63,10929.175,655492.35,6302.81105769231,73.4015965251158
"10","CLOTHING                      ",47,1908.52,99,1620.96,1764.74,165869.94,1594.90326923077,10.648716699361
"11","COSMETICS                     ",47,1019.17,99,1170.63,1094.9,120904,1162.53846153846,-5.81816978760008
"12","DAIRY                         ",47,32877.08,99,31996.95,32437.015,2809265.78000001,27012.1709615385,20.0829620328765
"13","DELI                          ",47,7091.93,99,6919,7005.465,909337.28,8743.62769230769,-19.8791937794522
"14","DRY GOODS                     ",47,8532.38,99,8108.15,8320.265,587303.93,5647.15317307692,47.3355643984878
"15","ELECTRONICS                   ",47,807.94,99,513.62,660.78,28059.56,269.803461538462,144.911609447903
"16","FLORAL                        ",47,3605.53,99,3519.04,3562.285,277036.5,2663.8125,33.7288191267216
"17","FROZEN FOOD                   ",47,26465.08,99,26304.63,26384.855,2696407.6,25926.9961538462,1.76595407904937
"18","GIFT                          ",47,1957.97,99,1916.57,1937.27,223388.78,2147.96903846154,-9.80922139419893
"19","GROCERY STAPLE                ",47,87061.58,99,86933.16,86997.37,7767159.60999992,74684.22701923,16.4869390394836
"20","HOLIDAY                       ",47,1121.45,99,933.16,1027.305,48316.37,464.580480769231,121.125303908385
"21","HOUSEHOLD                     ",47,30284,99,30183.79,30233.895,2410471.74,23177.6128846154,30.4443867904461
"22","IN STORE FOOD SERVICE         ",47,10448.11,99,9638.7,10043.405,884803.960000001,8507.73038461539,18.0503441688936
"23","INTERNATIONAL FOOD            ",47,3692.98,99,3444.35,3568.665,442731.61,4257.03471153846,-16.170169100869
"24","MEAT - BEEF                   ",47,10090.62,99,10369.83,10230.225,1477197.44,14203.8215384615,-27.9755453678555
"25","MEAT - CHICKEN                ",47,7780.28,99,7318.39,7549.335,1076658.25,10352.4831730769,-27.0770608965287
"26","MEAT - OTHER                  ",47,12344.41,99,11807.22,12075.815,786157.46,7559.20634615385,59.7497732833317
"27","MEAT - PORK                   ",47,2687.19,99,2913.47,2800.33,432178.33,4155.56086538462,-32.6124657846681
"28","MEAT - POULTRY                ",47,313.29,99,326.94,320.115,30766.54,295.832115384615,8.20833281870499
"29","MEAT - SAUSAGE                ",47,3226.08,99,3443.37,3334.725,322370.35,3099.71490384615,7.58166810316148
"30","MEAT - TURKEY                 ",47,9983.97,99,9495.16,9739.565,184006.08,1769.28923076923,450.478962434285
"31","MEDICAL SUPPLIES              ",47,108,99,113.15,110.575,14651.19,140.876826923077,-21.5094473554708
"32","MEDICATION                    ",47,6480.52,99,6891.34,6685.93,678841.9,6527.32596153846,2.42984706748359
"33","MISC                          ",47,2068.43,99,1547.8,1808.115,133209.65,1280.86201923077,41.1639171786728
"34","OUTDOOR                       ",47,848.47,99,663.97,756.22,89316.38,858.811346153846,-11.9457371648963
"35","PERSONAL CARE                 ",47,10663.64,99,10911.8,10787.72,1253456.62,12052.4675,-10.4936810657238
"36","PET                           ",47,7031.6,99,6774.07,6902.835,755748.84,7266.81576923077,-5.00880689409992
"37","PRODUCE                       ",47,30418.03,99,30701.24,30559.635,3169250.78,30473.5651923077,0.282440886549096
"38","SEAFOOD                       ",47,4398.62,99,4586.63,4492.625,569060.33,5471.73394230769,-17.8939428091921
"39","SEASONAL PRODUCTS             ",47,238.32,99,137.34,187.83,30262.98,290.990192307692,-35.4514327405959
"40","SPECIALTY FOOD                ",47,1348.41,99,1350.86,1349.635,173256.13,1665.92432692308,-18.9858159708404
"41","TOBACCO PRODUCTS              ",47,3701.04,99,3239.01,3470.025,339684.38,3266.19596153846,6.24056366677796
"42","TOYS                          ",47,1256.16,99,728.28,992.22,56794.97,546.105480769231,81.690174323536
