"","COMMODITY","WEEK_NUM.x","totalspend.x","WEEK_NUM.y","totalspend.y","avg_spend","totalsale","avg","pctdiff"
"1","ACTIVITY                      ",51,77.12,103,52.92,65.02,13971.54,134.341730769231,-51.6010404007003
"2","ALCOHOL                       ",51,30160.03,103,29450.97,29805.5,1983855.44,19075.5330769231,56.2498928853404
"3","AUTO                          ",51,304.68,103,468.69,386.685,24492.96,235.509230769231,64.1910165206655
"4","BABY                          ",51,4849.79,103,4260.74,4555.265,472514.94,4543.41288461538,0.260863709409899
"5","BAKERY                        ",51,17686.51,103,17365.49,17526,1504196.08,14463.4238461539,21.1746277120997
"6","BEVERAGE - NON WATER          ",51,22952.45,103,22878.93,22915.69,1939753.37,18651.4747115385,22.8626173233558
"7","BEVERAGE - WATER              ",51,4658.61,103,4797.23,4727.92,523357.55,5032.28413461539,-6.0482303159666
"8","BULK PRODUCTS                 ",51,1945.22,103,2067.99,2006.605,173219.82,1665.57519230769,20.4751973532821
"9","CANNED GOODS                  ",51,10127.67,103,9589.67,9858.67,655492.35,6302.81105769231,56.4170321743648
"10","CLOTHING                      ",51,3820.56,103,3841.53,3831.045,165869.94,1594.90326923077,140.20547665237
"11","COSMETICS                     ",51,1527.19,103,1305.83,1416.51,120904,1162.53846153846,21.8462912724145
"12","DAIRY                         ",51,39917.65,103,37857.38,38887.515,2809265.78000001,27012.1709615385,43.962938245024
"13","DELI                          ",51,9325.78,103,9471.38,9398.58,909337.28,8743.62769230769,7.49062438086778
"14","DRY GOODS                     ",51,8139.32,103,8435.47,8287.395,587303.93,5647.15317307692,46.7535012067772
"15","ELECTRONICS                   ",51,539.63,103,621.6,580.615,28059.56,269.803461538462,115.199240472766
"16","FLORAL                        ",51,3871.74,103,2916.98,3394.36,277036.5,2663.8125,27.4248844466343
"17","FROZEN FOOD                   ",51,28673.05,103,29747.26,29210.155,2696407.6,25926.9961538462,12.663089957171
"18","GIFT                          ",51,5552.58,103,5557.72,5555.15,223388.78,2147.96903846154,158.623374011891
"19","GROCERY STAPLE                ",51,108749.51,103,110755.58,109752.545,7767159.60999992,74684.22701923,46.9554541573289
"20","HOLIDAY                       ",51,3038.21,103,2697.9,2868.055,48316.37,464.580480769231,517.342983340843
"21","HOUSEHOLD                     ",51,32189.47,103,31049.57,31619.52,2410471.74,23177.6128846154,36.4226771644291
"22","IN STORE FOOD SERVICE         ",51,11632.35,103,10631.59,11131.97,884803.960000001,8507.73038461539,30.8453547156366
"23","INTERNATIONAL FOOD            ",51,4835.55,103,5348.74,5092.145,442731.61,4257.03471153846,19.6171829700617
"24","MEAT - BEEF                   ",51,19981.59,103,19028.31,19504.95,1477197.44,14203.8215384615,37.3218464283285
"25","MEAT - CHICKEN                ",51,9710.03,103,10294.65,10002.34,1076658.25,10352.4831730769,-3.38221436560768
"26","MEAT - OTHER                  ",51,14936.49,103,15504.76,15220.625,786157.46,7559.20634615385,101.352156602317
"27","MEAT - PORK                   ",51,3970.04,103,3671.28,3820.66,432178.33,4155.56086538462,-8.05910143620575
"28","MEAT - POULTRY                ",51,437.98,103,498.68,468.33,30766.54,295.832115384615,58.3093841556444
"29","MEAT - SAUSAGE                ",51,4970.46,103,4806.52,4888.49,322370.35,3099.71490384615,57.7077296345647
"30","MEAT - TURKEY                 ",51,4001.46,103,3574.47,3787.965,184006.08,1769.28923076923,114.095295111988
"31","MEDICAL SUPPLIES              ",51,177.24,103,131.28,154.26,14651.19,140.876826923077,9.49991092873684
"32","MEDICATION                    ",51,7848,103,7725.84,7786.92,678841.9,6527.32596153846,19.2972443215423
"33","MISC                          ",51,2153.02,103,2184.83,2168.925,133209.65,1280.86201923077,69.333227735378
"34","OUTDOOR                       ",51,289.78,103,290.98,290.38,89316.38,858.811346153846,-66.1881504825879
"35","PERSONAL CARE                 ",51,13602.63,103,13461.64,13532.135,1253456.62,12052.4675,12.2768843807294
"36","PET                           ",51,9206.76,103,9194.57,9200.665,755748.84,7266.81576923077,26.6120580482796
"37","PRODUCE                       ",51,34295.33,103,35371.04,34833.185,3169250.78,30473.5651923077,14.3062348634965
"38","SEAFOOD                       ",51,8429.13,103,7112.18,7770.655,569060.33,5471.73394230769,42.0144890437188
"39","SEASONAL PRODUCTS             ",51,482.09,103,690.8,586.445,30262.98,290.990192307692,101.534283801529
"40","SPECIALTY FOOD                ",51,1357.44,103,1609.79,1483.615,173256.13,1665.92432692308,-10.9434338629173
"41","TOBACCO PRODUCTS              ",51,3020.58,103,3493.25,3256.915,339684.38,3266.19596153846,-0.28415201193532
"42","TOYS                          ",51,1747.62,103,2071.02,1909.32,56794.97,546.105480769231,249.624764305712
